Pathway,negLogPvalue,Ratio,Zscore,Molecules
LXR/RXR Activation,2.43,0.0538,-2.236,APOE C3 IL1RL2 LPL MMP9 PTGS2 SAA1
Tuberculosis Active Signaling Pathway,1.09,0.0286,-1.89,BCL10 C3 C3AR1 CYBA FOS IL1RL2 PTGS2
IL-27 Signaling Pathway,1.79,0.0451,-1.633,CXCR3 IL1RL2 IRF8 PTGS2 SOCS3 TLR8
Hepatic Cholestasis,0.891,0.0267,-1.633,ABCB11 CYP8B1 GCG IL1RL2 SLC22A7 TIRAP
Neutrophil degranulation,8.85,0.0586,-1.512,ACAA1 ADAM8 ADGRE5 ANPEP ARSB C3 C3AR1 CFD CFP CREG1 CSTB CTSS CYBA EEF1A1 EPX GRN GSTP1 IQGAP1 ITGAL LAMTOR1 MMP9 NBEAL2 NPC2 PLAU PTX3 PYGL SERPINB6 TMBIM1
Degradation of the extracellular matrix,2.11,0.0617,-1.342,ADAM8 CAPN8 CTSK CTSS MMP9
Acute Phase Response Signaling,1.57,0.0366,-1.342,C3 CFB CP FOS RBP3 SAA1 SOCS3
Parkinson's Signaling Pathway,0.467,0.0191,-1.342,ERN1 PARK7 TH TLR8 TUBA3E TUBB1
FXR/RXR Activation,3.69,0.0564,-1.265,ABCB11 APOE CASP8 CYP8B1 G6PC3 GSTP1 LPL MGST2 PTGS2 SLC22A7 SOCS3
Transport of bile salts and organic acids  metal ions and amine compounds,3.54,0.0833,-1.134,CP RHAG RHCG SLC22A3 SLC22A4 SLC22A7 SLC6A14
Macrophage Alternative Activation Signaling Pathway,2.02,0.0415,-1.134,FOS IRF4 KLF4 LAMTOR1 LPL MARCO SOCS3 TSC22D3
ISGylation Signaling Pathway,1.07,0.0367,-1,IRF4 IRF8 ITGAL TLR8
Th1 Pathway,0.912,0.032,-1,CXCR3 LGALS9 SOCS3 STAT4
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),0.85,0.0303,-1,H2BC21 HUS1 POLH RAD51D
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,0.842,0.0301,-1,H2BC21 H3C6 LPL PEX11A
Atherosclerosis Signaling,0.817,0.0294,-1,APOE LPL MMP9 PLA2G4C
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,0.478,0.0208,-1,APOE CYBA FOS IRF8
Docosahexaenoic Acid (DHA) Signaling,0.478,0.0199,-1,CASP8 PLA2G4C PTGS2 SPTBN5 SYT13
Autophagy,0.368,0.0182,-1,ERN1 FOS GCG MAP1LC3B
Chromatin modifying enzymes,0,0.0148,-1,H2BC21 H3C6 HDAC10 SETD6
Class I MHC mediated antigen processing and presentation,1.49,0.0288,-0.905,ASB5 CTSS CYBA ERAP1 ERAP2 KBTBD7 PSMD9 PSME1 SEC23B SOCS3 TIRAP
Sphingolipid metabolism,2.23,0.0561,-0.816,ARSB ASAH2 GLB1L NEU3 SMPD2 SPTSSB
Neuroprotective Role of THOP1 in Alzheimer's Disease,1.81,0.0455,-0.816,CFD F7 MMP9 PRSS48 TMPRSS15 TMPRSS2
G alpha (i) signalling events,0.701,0.0233,-0.816,ANXA1 C3 C3AR1 CXCR3 GABBR1 SAA1
Histone Modification Signaling Pathway,0.517,0.02,-0.816,CSNK2A1 H1-6 L3MBTL1 MST1 PKD1 SETMAR
TRIM21 Intracellular Antibody Signaling Pathway,0,0.0105,-0.816,FOS IRF4 IRF8 MAP1LC3B PSMD9 PSME1
CTLA4 Signaling in Cytotoxic T Lymphocytes,0,0.00982,-0.816,BCL10 FOS IDO2 ITGAL LCP2 PLD6
Cellular Effects of Sildenafil (Viagra),1.76,0.0263,-0.728,ACKR4 ACVR2B ADGRE5 ADRB3 C3AR1 CAPN8 CASP8 CHRM5 CNGB3 F2RL1 GABBR1 GPR39 GUCY2D HTR2B MYH4 PDE6B PRKG2 SLC9A1
Hematoma Resolution Signaling Pathway,1.76,0.0349,-0.707,ANXA1 C3 F2RL1 FOS IL20RA MMP28 MMP9 SOCS3 TUBA3E
RAF/MAP kinase cascade,1.32,0.0304,-0.707,DUSP2 IQGAP1 KBTBD7 PAQR3 PSMD9 PSME1 RALGDS SPTBN5
Neutrophil Extracellular Trap Signaling Pathway,0.767,0.022,-0.707,CASP8 ITGAL MMP9 PAM16 PLA2G4C TIMM23B TIRAP TLR8 TSPO
Class A/1 (Rhodopsin-like receptors),2.3,0.0361,-0.577,ACKR4 ADRB3 ANXA1 C3 C3AR1 CHRM5 CXCR3 F2RL1 GPR39 HTR2B SAA1 TSHB
Necroptosis Signaling Pathway,1.92,0.0432,-0.447,CAPN8 CASP8 PAM16 PLA2G4C PYGL TIMM23B TSPO
Phase II - Conjugation of compounds,1.57,0.045,-0.447,GSTP1 MGST2 SULT1C2 SULT1C4 SULT2B1
Signaling by NOTCH4,1.17,0.035,-0.447,HES5 PSMD9 PSME1 STK33 WHR1
NAD Signaling Pathway,1.09,0.0331,-0.447,ERN1 H1-6 PARP12 SLC29A1 SLC29A2
Systemic Lupus Erythematosus in T Cell Signaling Pathway,0,0.00775,-0.447,CASP8 CREM FOS IRF4 ITGAL
Complement cascade,2.27,0.0504,-0.378,C3 C3AR1 CFB CFD CFH CFP MASP2
G alpha (q) signalling events,1.76,0.0402,-0.378,ANXA1 CHRM5 F2RL1 GCG GPR39 HTR2B SAA1
Neurovascular Coupling Signaling Pathway,1.18,0.0299,-0.378,CHRM5 ENTPD3 GABBR1 GUCY2D PLA2G4C PRKG2 PTGS2
Stress Granule Signaling Pathway,0.916,0.0257,-0.378,CSNK2A1 EIF3H ERN1 GADD45B HDAC10 PTGS2 RALGDS
Chaperone Mediated Autophagy Signaling Pathway,0,0.011,-0.378,EEF1A1 HDAC10 MMP28 MMP9 MST1 PARK7 PSME1
Sheddase Signaling Pathway,3.52,0.0539,-0.302,ACKR4 ADAM8 CCN1 F2RL1 FOS IGFBP1 MMP28 MMP9 PLAU TMPRSS15 TMPRSS2
BBSome Signaling Pathway,1.41,0.0264,-0.277,ACKR4 ADGRE5 ADRB3 C3AR1 CHRM5 ERN1 F2RL1 GABBR1 GPR39 HTR2B IQCB1 PKD1 TTC8
Complement System,4.6,0.154,0,C3 C3AR1 CFB CFD CFH MASP2
Post-translational protein phosphorylation,3.64,0.0748,0,APOE C3 CCN1 CP FAM20A IGFBP1 LGALS1 WFS1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs,3.21,0.0645,0,APOE C3 CCN1 CP FAM20A IGFBP1 LGALS1 WFS1
Multiple Sclerosis Signaling Pathway,2.19,0.0411,0,C3 CAPN8 CASP8 IRF4 MMP9 P2RX7 PARP12 PLAU TLR8
Membrane Repair Signaling Pathway,2.17,0.0545,0,ANXA1 CAPN8 CD151 MYH4 S100A10 SYT13
Phototransduction Pathway,1.99,0.0714,0,CNGB3 GUCY2D PDE6B RCVRN
Response to elevated platelet cytosolic Ca2+,1.81,0.0455,0,CFD CLEC3B LGALS3BP RAB27B SCCPDH SELENOP
Protein Kinase A Signaling,1.71,0.0301,0,CNGB3 CREM DUSP2 GDE1 H1-6 MTMR7 MYH4 PDE6B PLD6 PTGS2 PYGL TH
Phagosome Formation,1.63,0.0255,0,ACKR4 ADGRE5 ADRB3 BCL10 C3 C3AR1 CHRM5 F2RL1 GABBR1 GPR39 HTR2B ITGAL MARCO MYH4 PLA2G4C PLD6 RAPGEF3 TLR8
IL-12 Signaling and Production in Macrophages,1.49,0.0329,0,APOE C3 CXCR3 FOS IRF8 MST1 SOCS3 STAT4
JAK/STAT Signaling,1.43,0.0482,0,CISH FOS SOCS3 STAT4
Meiotic recombination,1.36,0.046,0,H2BC21 H3C6 MSH4 MSH5
Leukocyte Extravasation Signaling,1.12,0.0309,0,CYBA F11R ITGAL MMP28 MMP9 RAPGEF3
Beta-catenin independent WNT signaling,1.02,0.0291,0,PDE6B PRKG2 PSMD9 PSME1 STK33 WHR1
MSP-RON Signaling in Macrophages Pathway,0.959,0.0333,0,FOS MST1 PTGS2 SOCS3
Amyloid fiber formation,0.921,0.0323,0,APOE H2BC21 H3C6 SAA1
Glycosaminoglycan metabolism,0.893,0.0315,0,ARSB CHST6 GLB1L SLC9A1
MHC class II antigen presentation,0.885,0.0312,0,CTSK CTSS TUBA3E TUBB1
IL-6 Signaling,0.876,0.031,0,CSNK2A1 FOS IL1RL2 SOCS3
TCF dependent signaling in response to WNT,0.822,0.0254,0,CSNK2A1 H2BC21 H3C6 PSMD9 PSME1 SFRP1
