Pathway,negLogPvalue,Ratio,Zscore,Molecules
Gene Silencing by RNA,0.793,0.0288,0,BCDIN3D H2BC21 H3C6 PLD6
Th2 Pathway,0.778,0.0284,0,ACVR2B IKZF1 SOCS3 STAT4
DNA Replication Pre-Initiation,0.77,0.0282,0,H2BC21 H3C6 PSMD9 PSME1
G alpha (s) signalling events,0.748,0.0276,0,ADRB3 GCG GPR39 TSHB
Hedgehog 'on' state,0.748,0.0276,0,PSMD9 PSME1 STK33 WHR1
IL-10 Signaling,0.679,0.0258,0,BLVRB FOS IL1RL2 SOCS3
p75 NTR receptor-mediated signalling,0.66,0.0253,0,ARHGEF3 SMPD2 STK33 WHR1
Epithelial Adherens Junction Signaling,0.66,0.0253,0,ACVR2B IQGAP1 MST1 MYH4
Microautophagy Signaling Pathway,0.641,0.0248,0,MAP1LC3B PSMD9 PSME1 SEC23B
ERK/MAPK Signaling,0.615,0.0227,0,DUSP2 FOS ITGAL PLA2G4C RAPGEF3
Mitochondrial Dysfunction,0.579,0.0205,0,ADRB3 CAPN8 CP GSTP1 MGST2 PARK7 RAPGEF3
Irritable Bowel Syndrome Signaling Pathway,0.56,0.0208,0,IL1RL2 ITLN1 MMP28 MMP9 SLC22A4 TLR8
Gustation Pathway,0.404,0.019,0,GCG LPL P2RX7 SCN4A
Glutaminergic Receptor Signaling Pathway (Enhanced),0,0.0123,0,GABBR1 PLA2G4C PLD6 SCN4A
Cell Cycle Checkpoints,0,0.0137,0,H2BC21 HUS1 PSMD9 PSME1
T Cell Exhaustion Signaling Pathway,0,0.0088,0,ACVR2B FOS IRF4 LGALS9 STAT4
CREB Signaling in Neurons,0,0.0146,0.333,ACKR4 ADGRE5 ADRB3 C3AR1 CHRM5 F2RL1 GABBR1 GPR39 HTR2B
D-myo-inositol (1 4 5 6)-Tetrakisphosphate Biosynthesis,2.06,0.0421,0.378,ACP5 DUSP2 G6PC3 MTMR7 NUDT1 NUDT15 PPFIBP2 SOCS3
D-myo-inositol (3 4 5 6)-tetrakisphosphate Biosynthesis,2.06,0.0421,0.378,ACP5 DUSP2 G6PC3 MTMR7 NUDT1 NUDT15 PPFIBP2 SOCS3
KEAP1-NFE2L2 pathway,2.05,0.0458,0.378,CSNK2A1 MAFK MAP1LC3B PSMD9 PSME1 STK33 WHR1
3-phosphoinositide Degradation,1.92,0.0398,0.378,ACP5 DUSP2 G6PC3 MTMR7 NUDT1 NUDT15 PPFIBP2 SOCS3
D-myo-inositol-5-phosphate Metabolism,1.88,0.039,0.378,ACP5 DUSP2 G6PC3 MTMR7 NUDT1 NUDT15 PPFIBP2 SOCS3
3-phosphoinositide Biosynthesis,1.77,0.0374,0.378,ACP5 DUSP2 G6PC3 MTMR7 NUDT1 NUDT15 PPFIBP2 SOCS3
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway,1.51,0.0333,0.378,ACVR2B CTSK CTSS MMP28 MMP9 PTGS2 SFRP1 STAT4
Superpathway of Inositol Phosphate Compounds,1.51,0.0333,0.378,ACP5 DUSP2 G6PC3 MTMR7 NUDT1 NUDT15 PPFIBP2 SOCS3
Neddylation,1.08,0.0283,0.378,ANKRD9 ASB5 CISH KBTBD7 PSMD9 PSME1 SOCS3
Oxytocin Signaling Pathway,0.831,0.0244,0.378,FOS GUCY2D LPL MYH4 PLA2G4C PRKG2 PTGS2
Interferon gamma signaling,1.77,0.051,0.447,GBP1 GBP6 IRF4 IRF8 SOCS3
Endothelin-1 Signaling,1.12,0.0309,0.447,CASP8 FOS GUCY2D PLA2G4C PLD6 PTGS2
Glycation Signaling Pathway,0.591,0.0222,0.447,EGR1 ERN1 FOS MMP9 TIRAP
Gap Junction Signaling,0.4,0.0179,0.447,GUCY2D HTR2B PLA2G4C PRKG2 TUBA3E TUBB1
Myelination Signaling Pathway,0.252,0.0152,0.447,ACVR2B FOS HDAC10 HES5 RAPGEF3
NF-κB Signaling,0,0.00874,0.447,BCL10 CASP8 CSNK2A1 TIRAP TLR8
Lung Ionic Balance Signaling Pathway,0.568,0.0192,0.632,ACKR4 ADGRE5 ADRB3 C3AR1 CHRM5 CNGB3 F2RL1 GABBR1 GPR39 HTR2B
NF1 RAS Signaling Pathway,0.519,0.0186,0.632,ACKR4 ADGRE5 ADRB3 C3AR1 CHRM5 F2RL1 GABBR1 GPR39 HTR2B RALGDS
Transcriptional regulation by RUNX1,2.06,0.0421,0.707,CSNK2A1 CTSK GATA1 H2BC21 H3C6 PSMD9 PSME1 SOCS3
PTEN Regulation,1.55,0.0397,0.816,CSNK2A1 EGR1 LAMTOR1 PSMD9 PSME1 RRAGD
Cilium Assembly,1.04,0.0294,0.816,IQCB1 PKD1 RP2 TTC8 TUBA3E TUBB1
Phospholipase C Signaling,0,0.0071,0.816,ARHGEF3 HDAC10 ITGAL LCP2 PLA2G4C PLD6 RALGDS RAPGEF3
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced),1.99,0.0381,1,F11R FOS FOSB FOSL1 IGSF5 IL1RL2 IQGAP1 MMP9 PRKG2
Visual phototransduction,1.89,0.0667,1,GUCY2D PDE6B RBP3 RCVRN
Neuroinflammation Signaling Pathway,1.53,0.0304,1,ACVR2B CASP8 FOS GABBR1 MMP9 P2RX7 PLA2G4C PTGS2 TIRAP TLR8
Interferon alpha/beta signaling,1.53,0.0519,1,EGR1 IRF4 IRF8 SOCS3
Sirtuin Signaling Pathway,1.08,0.027,1,GADD45B H1-6 MAP1LC3B MLYCD PAM16 TIMM23B TSPO TUBA3E
Senescence-Associated Secretory Phenotype (SASP),1.05,0.036,1,FOS H2BC21 H3C6 RPS6KA2
TCR signaling,0.893,0.0315,1,BCL10 LCP2 PSMD9 PSME1
Pathogen Induced Cytokine Storm Signaling Pathway,0.89,0.0236,1,C3 CASP8 CXCR3 FOS IL1RL2 P2RX7 SOCS3 STAT4 TLR8
Adipogenesis pathway,0.801,0.029,1,ACVR2B CEBPD HDAC10 LPL
IL-33 Signaling Pathway,0.756,0.0256,1,CASP8 CELA2A FOS MMP9 PTGS2
C-type lectin receptors (CLRs),0.741,0.0274,1,BCL10 CASP8 PSMD9 PSME1
Adrenomedullin signaling pathway,0.713,0.0248,1,C3 CFH FOS GUCY2D PRKG2
ID1 Signaling Pathway,0.708,0.0246,1,ACVR2B CHRM5 EGR1 MMP9 PARK7
ESR-mediated signaling,0.679,0.0258,1,FOS FOSB H2BC21 H3C6
HEY1 Signaling Pathway,0.641,0.0248,1,ACVR2B GATA1 MMP28 MMP9
Nuclear Cytoskeleton Signaling Pathway,0.605,0.0225,1,CSNK2A1 EGR1 ITGAL TUBA3E TUBB1
WNT/β-catenin Signaling,0.572,0.0231,1,ACVR2B CSNK2A1 DKK3 SFRP1
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway,0.496,0.0213,1,EGR1 KLF4 MMP9 SOCS3
Cyclophilin Signaling Pathway,0.494,0.0202,1,APOE MMP9 PAM16 TIMM23B TSPO
Sertoli Cell-Sertoli Cell Junction Signaling,0.494,0.0202,1,F11R IGSF5 IL1RL2 TUBA3E TUBB1
Mitotic G2-G2/M phases,0.416,0.0193,1,PSMD9 PSME1 TUBA3E TUBB1
Zn Homeostasis Signaling Pathway,0.415,0.0166,1,ACKR4 ADGRE5 ADRB3 ANXA1 C3AR1 CHRM5 CYBA EGR1 F2RL1 GABBR1 GDE1 GPR39 HTR2B MMP28 MMP9 PDE6B PLD6 SLC9A1
Signaling by Rho Family GTPases,0.413,0.0186,1,ARHGEF3 FOS IQGAP1 ITGAL SLC9A1
FAK Signaling,0.394,0.0164,1,ACKR4 ACVR2B ADGRE5 ADRB3 C3AR1 CAPN8 CHRM5 F2RL1 FOS GABBR1 GPR39 HTR2B IL1RL2 IL20RA ITGAL MMP9 SOCS3
Mitotic Metaphase and Anaphase,0.314,0.0169,1,PSMD9 PSME1 TUBA3E TUBB1
T Cell Receptor Signaling,0,0.00643,1,BCL10 FOS ITGAL LCP2
Systemic Lupus Erythematosus in B Cell Signaling Pathway,0,0.00549,1,BCL10 FOS PIM2 TLR8
G-Protein Coupled Receptor Signaling,0.897,0.0211,1.069,ACKR4 ADGRE5 ADRB3 C3AR1 CHRM5 CNGB3 F2RL1 FOS GABBR1 GDE1 GPR39 HTR2B PDE6B PLD6 RAPGEF3
cAMP-mediated signaling,1.93,0.0373,1.134,ADRB3 CHRM5 CNGB3 CREM GABBR1 GDE1 PDE6B PLD6 RAPGEF3
Tumor Microenvironment Pathway,1.69,0.0389,1.134,FOS IDO2 LGALS9 MMP28 MMP9 PLAU PTGS2
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,1.28,0.0285,1.134,ACP5 ADAM8 CTSK FOS IL1RL2 LCP2 MMP28 MMP9 SFRP1
Serotonin Receptor Signaling,0.739,0.0212,1.265,ADRB3 G6PC3 HTR2B MAP1LC3B MMP9 PLA2G4C PLD6 PTGS2 RAPGEF3 TGM1
Sleep REM Signaling Pathway,2.7,0.0847,1.342,CHRM5 EGR1 FOS GADD45B RPS6KA2
Iron uptake and transport,2.67,0.0833,1.342,CP CYBRD1 STEAP3 TFR2 TFRC
ER-Mitochondrial Communication Signaling Pathway,2.09,0.061,1.342,ADRB3 CASP8 CSNK2A1 ERN1 ESYT1
Factors involved in megakaryocyte development and platelet production,1.61,0.0463,1.342,DOCK11 GATA1 H3C6 HBE1 MAFK
Osteoarthritis Pathway,1.15,0.0294,1.342,CASP8 IL1RL2 ITGAL ITLN1 MMP9 P2RX7 PTGS2
IL-8 Signaling,1.01,0.0288,1.342,CSTB FOS IQGAP1 MMP9 PLD6 PTGS2
Neuropeptides in Migraine Signaling Pathway,0.923,0.0292,1.342,FOS GUCY2D HTR2B PRKG2 RAPGEF3
Pancreatic Secretion Signaling Pathway,0.776,0.0246,1.342,AMY2A ARHGEF3 CA13 LPL RAPGEF3 SLC9A1
Fc epsilon receptor (FCERI) signaling,0.668,0.0238,1.342,BCL10 FOS LCP2 PSMD9 PSME1
Wound Healing Signaling Pathway,0.486,0.0201,1.342,ACVR2B FOS IL1RL2 MMP9 MST1
Chronic Myeloid Leukemia Signaling,0.374,0.0178,1.342,FOS HDAC10 IRF8 KLF4 MMP9
Hepatic Fibrosis Signaling Pathway,0,0.0144,1.342,ACVR2B FOS IL1RL2 ITGAL TFRC TIRAP
Cachexia Signaling Pathway,2.74,0.0375,1.387,ACVR2B ADRB3 CAPN8 CASP8 CEBPD ERN1 IL1RL2 LPL MAP1LC3B PSMD9 PSME1 SOCS3 STAT4 TLR8
NAFLD Signaling Pathway,1.67,0.0357,1.414,CASP8 ERN1 FOS G6PC3 P2RX7 PTGS2 SOCS3 TLR8
Role of Macrophages  Fibroblasts and Endothelial Cells in Rheumatoid Arthritis,0.842,0.0237,1.414,CEBPD DKK3 F2RL1 FOS IL1RL2 SFRP1 SOCS3 TLR8
RHO GTPase cycle,0.427,0.0178,1.414,ARHGEF3 CYBA DOCK11 ESYT1 IQGAP1 LAMTOR1 STEAP3 TFRC
S100 Family Signaling Pathway,0.853,0.0205,1.5,ACKR4 ADGRE5 ADRB3 ANXA1 C3AR1 CHRM5 F2RL1 FOS GABBR1 GPR39 HTR2B IQGAP1 MMP28 MMP9 PLA2G4C S100A10
L1CAM interactions,1.95,0.0488,1.633,CSNK2A1 RPS6KA2 SCN4A SPTBN5 TUBA3E TUBB1
Eicosanoid Signaling,0.864,0.0249,1.633,EGR1 KLF4 PLA2G4C PTGS2 RAPGEF3 RPS6KA2 TBXAS1
RAR Activation,1.79,0.0299,1.732,ACVR2B CNGB3 CSNK2A1 F11R FOS GDE1 MMP9 PDE6B PLAU PLD6 RBP3 RPS6KA2 SOCS3
Pulmonary Fibrosis Idiopathic Signaling Pathway,0.643,0.0215,1.89,ACVR2B EGR1 FOS MMP28 MMP9 PLAU RPS6KA2
NGF-stimulated transcription,2.55,0.103,2,EGR1 FOS FOSB FOSL1
ABRA Signaling Pathway,1.35,0.0455,2,EGR1 FOS FOSB MMP9
Erythropoietin Signaling Pathway,0.849,0.0276,2,EPOR FOS GATA1 HBE1 HBZ
SLAMF Signaling Pathway,0,0.0041,2,BCL10 FOS LCP2 SH2D1B
Interleukin-4 and Interleukin-13 signaling,3.53,0.0721,2.121,ANXA1 CEBPD FOS IRF4 MMP9 PTGS2 SAA1 SOCS3
Activin Inhibin Signaling Pathway,1.78,0.0376,2.121,ACVR2B EPOR FOS FOSB FOSL1 IL1RL2 PTGS2 TLR8
Heme Biosynthesis II,7.03,0.556,2.236,ALAS2 FECH HMBS PPOX UROD
Metabolism of porphyrins,4.4,0.192,2.236,ALAS2 BLVRB FECH PPOX UROD
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway,3.44,0.0625,2.333,CASP8 CEBPD EGR1 FOS IL1RL2 MMP28 MMP9 PLAU PTGS2
Coronavirus Pathogenesis Pathway,0.817,0.0253,2.449,CASP8 EEF1A1 FOS HDAC10 PTGS2 TMPRSS2
Cardiac Hypertrophy Signaling (Enhanced),0.369,0.0168,2.449,ACVR2B GDE1 HDAC10 IL1RL2 IL20RA ITGAL PDE6B PLD6 PTGS2
Heme Biosynthesis from Uroporphyrinogen-III I,4.86,0.75,#NUM!,FECH PPOX UROD
Iron homeostasis signaling pathway,4.11,0.069,#NUM!,ALAS2 CP CYBRD1 FECH HBE1 HBZ SLC25A37 STEAP3 TFR2 TFRC
Fructose metabolism,3.94,0.429,#NUM!,ALDOB KHK SORD
Proline catabolism,3.17,0.667,#NUM!,PRODH PRODH2
Proline Degradation,3.17,0.667,#NUM!,PRODH PRODH2
Trafficking and processing of endosomal TLR,3.05,0.231,#NUM!,CTSK CTSS TLR8
Dissolution of Fibrin Clot,3.05,0.231,#NUM!,PLAU S100A10 SERPINB6
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),2.86,0.2,#NUM!,CYP8B1 PTGS2 TBXAS1
Platelet Adhesion to exposed collagen,2.78,0.188,#NUM!,ADAMTS13 GP1BB GP9
Glutaryl-CoA Degradation,2.78,0.188,#NUM!,L3HYPDH PARK7 TBXAS1
Superpathway of Citrulline Metabolism,2.78,0.188,#NUM!,ASS1 PRODH PRODH2
Formation of xylulose-5-phosphate,2.65,0.4,#NUM!,DCXR SORD
Tetrapyrrole Biosynthesis II,2.65,0.4,#NUM!,ALAS2 HMBS
Protein repair,2.48,0.333,#NUM!,MSRB1 MSRB2
tRNA Splicing,2.32,0.0889,#NUM!,GDE1 PDE6B PLD6 TSEN15
Azathioprine ADME,2.31,0.13,#NUM!,NUDT15 SLC29A1 SLC29A2
Tryptophan Degradation III (Eukaryotic),2.31,0.13,#NUM!,L3HYPDH PARK7 TBXAS1
NFE2L2 regulating MDR associated enzymes,2.22,0.25,#NUM!,ABCF2 MAFK
Sucrose Degradation V (Mammalian),2.22,0.25,#NUM!,ALDOB KHK
Interleukin-20 family signaling,2.16,0.115,#NUM!,IL20RA SOCS3 STAT4
Glutathione-mediated Detoxification,2.13,0.0784,#NUM!,ANPEP Gsta4 GSTP1 MGST2
Peroxisomal lipid metabolism,2.03,0.103,#NUM!,ACAA1 ACBD4 MLYCD
Prostanoid Biosynthesis,2.02,0.2,#NUM!,PTGS2 TBXAS1
Citrulline Biosynthesis,2.02,0.2,#NUM!,PRODH PRODH2
Glycine Betaine Degradation,2.02,0.2,#NUM!,DMGDH SDSL
Glutathione Redox Reactions I,1.94,0.0968,#NUM!,CP GSTP1 MGST2
Serine metabolism,1.94,0.182,#NUM!,SDSL SERINC4
RHO GTPases activate IQGAPs,1.91,0.0938,#NUM!,IQGAP1 TUBA3E TUBB1
GP1b-IX-V activation signalling,1.86,0.167,#NUM!,GP1BB GP9
Thiamin Salvage III,1.82,1,#NUM!,TPK1
Sorbitol Degradation I,1.82,1,#NUM!,SORD
4-hydroxybenzoate Biosynthesis,1.82,1,#NUM!,TAT
4-hydroxyphenylpyruvate Biosynthesis,1.82,1,#NUM!,TAT
Nucleotide catabolism,1.8,0.0857,#NUM!,ENTPD3 NUDT1 NUDT15
Platelet Aggregation (Plug Formation),1.8,0.154,#NUM!,GP1BB GP9
Formation of Fibrin Clot (Clotting Cascade),1.68,0.0769,#NUM!,F7 GP1BB GP9
IGF-1 Signaling,1.66,0.0476,#NUM!,CCN1 CSNK2A1 FOS IGFBP1 SOCS3
Aggrephagy,1.54,0.0682,#NUM!,PARK7 TUBA3E TUBB1
Metabolism of amine-derived hormones,1.52,0.111,#NUM!,TH TSHB
Alanine metabolism,1.52,0.5,#NUM!,GPT
Alanine Degradation III,1.52,0.5,#NUM!,GPT
Alanine Biosynthesis II,1.52,0.5,#NUM!,GPT
Fatty Acid Biosynthesis Initiation II,1.52,0.5,#NUM!,OXSM
Glycine Degradation (Creatine Biosynthesis),1.52,0.5,#NUM!,GAMT
Carboxyterminal post-translational modifications of tubulin,1.51,0.0667,#NUM!,TTLL12 TUBA3E TUBB1
Relaxin Signaling,1.49,0.0385,#NUM!,FOS GDE1 GUCY2D MMP9 PDE6B PLD6
Arachidonate metabolism,1.49,0.0652,#NUM!,CYP1B1 PTGR1 PTGS2
MIF Regulation of Innate Immunity,1.49,0.0652,#NUM!,FOS PLA2G4C PTGS2
Glyoxylate metabolism and glycine degradation,1.48,0.105,#NUM!,DAO PRODH2
Role of JAK family kinases in IL-6-type Cytokine Signaling,1.46,0.0494,#NUM!,CEBPD FOS SERPINA9 SOCS3
Synthesis  secretion  and deacylation of Ghrelin,1.44,0.1,#NUM!,GCG KLF4
Pyruvate metabolism,1.42,0.0612,#NUM!,GPT ME1 PDK2
LPS/IL-1 Mediated Inhibition of RXR Function,1.41,0.0302,#NUM!,ABCB11 ACAA1 APOE GSTP1 IL1RL2 MGST2 SULT1C2 SULT1C4 SULT2B1
Pancreatic Adenocarcinoma Signaling,1.38,0.04,#NUM!,HDAC10 MMP9 PLD6 PTGS2 RALGDS
Chaperone Mediated Autophagy,1.36,0.0909,#NUM!,EEF1A1 PARK7
Threonine catabolism,1.35,0.333,#NUM!,SDSL
NFE2L2 regulating TCA cycle genes,1.35,0.333,#NUM!,ME1
Palmitate Biosynthesis I (Animals),1.35,0.333,#NUM!,OXSM
L-serine Degradation,1.35,0.333,#NUM!,SDSL
Tumoricidal Function of Hepatic Natural Killer Cells,1.29,0.0833,#NUM!,CASP8 ITGAL
Inflammasome pathway,1.29,0.0833,#NUM!,CASP8 P2RX7
Th1 and Th2 Activation Pathway,1.28,0.0341,#NUM!,ACVR2B CXCR3 IKZF1 LGALS9 SOCS3 STAT4
Heparan Sulfate Biosynthesis (Late Stages),1.27,0.043,#NUM!,EXTL3 SULT1C2 SULT1C4 SULT2B1
FAT10 Signaling Pathway,1.27,0.0536,#NUM!,MAP1LC3B PSMD9 PSME1
Metabolism of cofactors,1.26,0.08,#NUM!,COQ7 PRKG2
Growth hormone receptor signaling,1.26,0.08,#NUM!,CISH SOCS3
TNF signaling,1.26,0.0526,#NUM!,CASP8 SMPD2 SPPL2B
Heme Degradation,1.23,0.25,#NUM!,BLVRB
Catecholamine Biosynthesis,1.23,0.25,#NUM!,TH
D-glucuronate Degradation I,1.23,0.25,#NUM!,DCXR
Proline Biosynthesis I,1.23,0.25,#NUM!,PYCR2
Oxidized GTP and dGTP Detoxification,1.23,0.25,#NUM!,NUDT1
