,Pathway,negLogPvalue,Ratio,Zscore,Molecules,Abs_Zscore
1,Neutrophil degranulation,8.85,0.0586,-1.512,ACAA1 ADAM8 ADGRE5 ANPEP ARSB C3 C3AR1 CFD CFP CREG1 CSTB CTSS CYBA EEF1A1 EPX GRN GSTP1 IQGAP1 ITGAL LAMTOR1 MMP9 NBEAL2 NPC2 PLAU PTX3 PYGL SERPINB6 TMBIM1,1.512
2,Heme Biosynthesis II,7.03,0.556,2.236,ALAS2 FECH HMBS PPOX UROD,2.236
4,FXR/RXR Activation,3.69,0.0564,-1.265,ABCB11 APOE CASP8 CYP8B1 G6PC3 GSTP1 LPL MGST2 PTGS2 SLC22A7 SOCS3,1.265
6,Interleukin-4 and Interleukin-13 signaling,3.53,0.0721,2.121,ANXA1 CEBPD FOS IRF4 MMP9 PTGS2 SAA1 SOCS3,2.121
10,Iron uptake and transport,2.67,0.0833,1.342,CP CYBRD1 STEAP3 TFR2 TFRC,1.342
11,NGF-stimulated transcription,2.55,0.103,2,EGR1 FOS FOSB FOSL1,2
12,LXR/RXR Activation,2.43,0.0538,-2.236,APOE C3 IL1RL2 LPL MMP9 PTGS2 SAA1,2.236
13,Degradation of the extracellular matrix,2.11,0.0617,-1.342,ADAM8 CAPN8 CTSK CTSS MMP9,1.342
14,ER-Mitochondrial Communication Signaling Pathway,2.09,0.061,1.342,ADRB3 CASP8 CSNK2A1 ERN1 ESYT1,1.342
15,Macrophage Alternative Activation Signaling Pathway,2.02,0.0415,-1.134,FOS IRF4 KLF4 LAMTOR1 LPL MARCO SOCS3 TSC22D3,1.134
17,L1CAM interactions,1.95,0.0488,1.633,CSNK2A1 RPS6KA2 SCN4A SPTBN5 TUBA3E TUBB1,1.633
18,cAMP-mediated signaling,1.93,0.0373,1.134,ADRB3 CHRM5 CNGB3 CREM GABBR1 GDE1 PDE6B PLD6 RAPGEF3,1.134
19,Visual phototransduction,1.89,0.0667,1,GUCY2D PDE6B RBP3 RCVRN,1
20,IL-27 Signaling Pathway,1.79,0.0451,-1.633,CXCR3 IL1RL2 IRF8 PTGS2 SOCS3 TLR8,1.633
21,RAR Activation,1.79,0.0299,1.732,ACVR2B CNGB3 CSNK2A1 F11R FOS GDE1 MMP9 PDE6B PLAU PLD6 RBP3 RPS6KA2 SOCS3,1.732
22,Activin Inhibin Signaling Pathway,1.78,0.0376,2.121,ACVR2B EPOR FOS FOSB FOSL1 IL1RL2 PTGS2 TLR8,2.121
23,Tumor Microenvironment Pathway,1.69,0.0389,1.134,FOS IDO2 LGALS9 MMP28 MMP9 PLAU PTGS2,1.134
24,NAFLD Signaling Pathway,1.67,0.0357,1.414,CASP8 ERN1 FOS G6PC3 P2RX7 PTGS2 SOCS3 TLR8,1.414
25,Factors involved in platelet production,1.61,0.0463,1.342,DOCK11 GATA1 H3C6 HBE1 MAFK,1.342
26,Acute Phase Response Signaling,1.57,0.0366,-1.342,C3 CFB CP FOS RBP3 SAA1 SOCS3,1.342
27,Neuroinflammation Signaling Pathway,1.53,0.0304,1,ACVR2B CASP8 FOS GABBR1 MMP9 P2RX7 PLA2G4C PTGS2 TIRAP TLR8,1
28,Interferon alpha/beta signaling,1.53,0.0519,1,EGR1 IRF4 IRF8 SOCS3,1
29,ABRA Signaling Pathway,1.35,0.0455,2,EGR1 FOS FOSB MMP9,2
