,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,negLogPvalue
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,A subgroup of MYC targets.,182,-0.525688028,-2.174916574,1.06E-08,3.28E-07,2.70E-07,4640,"tags=67%, list=37%, signal=43%",PSMD8/MRPL23/SF3A1/NDUFAB1/TCP1/PSMA2/AIMP2/RUVBL2/PRDX3/PSMB2/PRDX4/MYC/SRPK1/DDX18/HSP90AB1/ERH/EEF1B2/CYC1/PSMA1/CCT4/RPL34/RPS2/HNRNPA3/PSMD7/PHB1/CSTF2/RFC4/RACK1/EIF3J/SNRPD2/SLC25A3/HNRNPU/SNRPB2/MAD2L1/EIF4H/SF3B3/PSMC6/CLNS1A/G3BP1/RPL6/CCT3/RPS10/RPL14/RRP9/VBP1/SNRPA/SRSF1/COX5A/EPRS1/CAD/TUFM/NAP1L1/RPL22/PSMD3/RPS6/IARS1/RPLP0/CDC45/SMARCC1/CCT2/CCT7/PSMD14/PSMD1/RPL18/LDHA/IFRD1/DHX15/XRCC6/SNRPA1/SET/CDK4/CCT5/NCBP2/TARDBP/SRM/KARS1/FBL/ABCE1/GOT2/CDK2/HDDC2/HNRNPA1/RPS5/PPM1G/EIF2S2/RAD23B/RAN/HNRNPR/PTGES3/POLD2/HPRT1/MRPS18B/APEX1/TFDP1/CBX3/XPO1/COPS5/MCM2/ILF2/ETF1/MCM5/PA2G4/CDC20/MRPL9/U2AF1/CCNA2/TYMS/MCM4/RRM1/KPNA2/BUB3/DUT/EXOSC7/EIF1AX/MCM7/MCM6/PCNA/UBA2/SRSF3/SNRPD1/ODC1/TRIM28,6.483606687
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,Cell cycle related targets of E2F transcription factors.,184,-0.51798341,-2.147065166,1.31E-08,3.28E-07,2.70E-07,3267,"tags=54%, list=26%, signal=41%",CCP110/TUBG1/ZW10/ING3/AURKB/ILF3/EXOSC8/HMMR/CBX5/PMS2/SRSF1/DEPDC1/TIMELESS/NAP1L1/SNRPB/STMN1/AURKA/CNOT9/PLK4/BUB1B/CENPM/PDS5B/CDKN1A/PAICS/TUBB/MRE11/RPA1/PPP1R8/KIF4A/XRCC6/MSH2/CDK4/UBE2S/NCAPD2/EZH2/CHEK2/DDX39A/PRIM2/ASF1B/DNMT1/SMC4/POLD1/CDCA8/RAN/UBR7/POLD2/UBE2T/GINS4/TACC3/POLA2/SLBP/XPO1/E2F8/HMGB2/TRIP13/HELLS/RAD50/MCM2/MYBL2/MELK/MCM3/MCM5/PA2G4/CCNB2/TK1/CCNE1/RPA3/TOP2A/CDC20/MXD3/ORC6/RPA2/RNASEH2A/CDCA3/MCM4/NASP/CDK1/POLE4/KPNA2/POLE/KIF22/EED/CKS1B/DUT/CDKN2C/MCM7/PHF5A/MCM6/PCNA/SPC24/CHEK1/SPC25/TCF19/DSCC1/H2AX/LYAR/DCTPP1/HUS1/RRM2,6.483606687
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Genes regulated by NF-kB in response to TNF,145,0.560900861,2.022094447,3.47E-08,5.78E-07,4.75E-07,1444,"tags=33%, list=11%, signal=30%",FOS/SIK1/FOSL1/FOSB/PTGS2/IER2/JUNB/CEBPB/KLF4/F2RL1/IL1B/GADD45B/ZBTB10/TNFAIP3/CCN1/CD44/TRIB1/DUSP2/NR4A1/CEBPD/SERPINB8/BCL3/DUSP5/SPHK1/ATF3/STAT5A/SOCS3/F3/PLEK/DUSP1/KLF9/EGR3/NFE2L2/NR4A3/MCL1/CLCF1/MSC/IER3/PHLDA2/GCH1/DRAM1/GADD45A/TNFAIP6/B4GALT1/PPP1R15A/HBEGF/REL/SLC2A3,6.23801753
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Genes involved in heme metabolism and erythroblast differentiation.,157,0.459441157,1.669617418,0.000270107,0.003376333,0.002772147,1506,"tags=22%, list=12%, signal=19%",RHD/ALAS2/GATA1/ABCG2/FECH/SLC25A37/BLVRB/NFE2/EPOR/SLC4A1/TRAK2/PPOX/UROD/SLC66A2/RHAG/HMBS/KAT2B/SPTB/BCAM/TFRC/SLC7A11/ABCB6/DMTN/EZH1/BLVRA/LMO2/CAST/RAP1GAP/DCAF11/CTNS/SLC6A8/UROS/TOP1/ADD2,2.471554719
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Genes involved in the G2/M checkpoint.,183,-0.406364577,-1.681980103,0.000639123,0.006391232,0.005247538,3805,"tags=55%, list=30%, signal=39%",UPF1/ODF2/MEIS1/LMNB1/CUL5/ESPL1/HNRNPU/STAG1/SMC2/CDC7/MTF2/LBR/MAD2L1/NDC80/G3BP1/CCNT1/MARCKS/UCK2/LIG3/AURKB/ILF3/HMMR/TRAIP/SRSF1/DR1/E2F3/NSD2/SS18/EWSR1/CDC45/STMN1/AURKA/SMARCC1/SLC7A5/PLK4/SFPQ/PDS5B/CDC27/KIF20B/KIF4A/TROAP/EGF/KIF23/CDK4/UBE2S/NUP98/EZH2/DDX39A/PRIM2/CCND1/SMC4/PBK/CCNF/RAD23B/RAD54L/CDC6/TPX2/TENT4A/TACC3/H2AZ2/TFDP1/POLA2/XPO1/UBE2C/TTK/CHAF1A/NUMA1/MCM2/MYBL2/MCM3/MCM5/FBXO5/CCNB2/DBF4/NUSAP1/GINS2/KIF11/TOP2A/CDC20/ORC6/RPA2/BUB1/CCNA2/NASP/CENPA/INCENP/CDK1/KPNA2/BUB3/POLE/KIF22/CKS1B/CDKN2C/MCM6/SRSF10/SNRPD1/CHEK1/SLC12A2/H2AX/ODC1/HUS1,2.194415445
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,Genes involved in p53 pathways and networks.,155,0.431440673,1.564515447,0.001260763,0.010506355,0.00862627,2539,"tags=30%, list=20%, signal=24%",STEAP3/FOS/TM4SF1/DCXR/DDIT3/KLF4/NUDT15/ZNF365/VDR/RALGDS/DDIT4/SPHK1/SLC7A11/ATF3/TOB1/DGKA/KIF13B/IER3/RXRA/DRAM1/STOM/GADD45A/CASP1/VAMP8/PPP1R15A/HBEGF/UPP1/NDRG1/TXNIP/MKNK2/ABHD4/ACVR1B/CGRRF1/EPS8L2/SLC19A2/FBXW7/IRAG2/COQ8A/TRAFD1/PLXNB2/MXD4/DDB2/NOL8/RRP8/TGFB1/RAD51C,1.978547938
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Genes involved in DNA repair.,138,-0.404993386,-1.63165422,0.002114516,0.015103687,0.012400922,3043,"tags=43%, list=24%, signal=33%",TARBP2/MPC2/POLR2C/SUPT5H/DCTN4/POLR2D/RAD51/CSTF3/NELFCD/RALA/SRSF6/GTF3C5/POLR2E/RNMT/RFC5/GTF2B/POLR2I/TAF10/NCBP2/DGUOK/RRM2B/GTF2A2/AAAS/POLD1/UMPS/AGO4/RAE1/TK2/HPRT1/SUPT4H1/POLA2/AK1/ADRM1/POLR1H/RBX1/NT5C3A/FEN1/RPA3/POLA1/POLR2J/RPA2/NELFE/GTF2H3/TYMS/TAF13/NME4/GMPR2/POLE4/PRIM1/PNP/DUT/CCNO/PCNA/POLR1C/BRF2/POLR2H/ERCC3/PDE6G/DAD1/POLH,1.820917033
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,Genes up-regulated by IL6 via STAT3.,41,0.573237583,1.703692638,0.002454073,0.015337953,0.012593267,2964,"tags=41%, list=23%, signal=32%",IL1B/CD44/SOCS3/IL17RB/MYD88/ITGB3/IL10RB/STAT1/ACVR1B/CSF3R/TGFB1/IFNGR1/HAX1/IRF1/CSF1/STAT2/TYK2,1.814232586
