,ortholog_gene,EnsemblID,LLgeneSymbol,logFC,Fold_change,PValue,FDR,wt_1,wt_2,wt_3,wt_4,iqgap1_mut_1,iqgap1_mut_2,iqgap1_mut_3,iqgap1_mut_4
1,PPT2,ENSDARG00000068846,zgc:66024,4.83188811176716,28.4802145950096,1.02478382270122e-16,2.11964709297024e-14,0,0.986099125942415,1.00709997399671,0,15.3780441666582,13.0883388772177,14.501917432992,18.5891301416767
2,SDHD,ENSDARG00000055712,sdhda,4.15375839619347,17.7994208641833,2.56421924638936e-08,1.51176258621273e-06,1.00215418912585,0,0,1.01625209761682,14.6756290592184,5.87442820024743,10.8470903853666,6.04259984398025
3,H1-6,ENSDARG00000077504,si:ch211-103n10.5,3.49043032766175,11.2389108528701,2.71052282896924e-22,9.8490876146154e-20,4.06500839046728,8.80537743553106,8.81164230037114,0.986099125942415,78.5537979717432,48.1034010780407,47.1593354444185,55.3737414036132
4,CBLN3,ENSDARG00000068232,cbln12,3.35877161320383,10.2586686881898,4.13510251017512e-13,5.26961001877246e-11,0,2.01359059649502,3.04875629285046,4.89187635307281,16.6442132340344,27.6107755263876,23.1632994019243,23.0495463498945
5,PIGP,ENSDARG00000038805,pigp,3.24185927794368,9.46012520596221,2.82320159637294e-73,2.53043559082906e-69,53.8613611736915,45.0052624482699,44.0582115018557,45.3605597933511,529.734586322268,377.812129300445,295.258447999838,369.493874456837
6,SNORA57,ENSDARG00000085829,BX323559.2,3.07478238207573,8.42561726113432,1.27265542228549e-10,1.13689141693803e-08,5.55751004632627,1.18901495421168,5.37128023567395,15.4301647393166,42.4121234067833,55.7631255601977,57.7842105449964,44.4425476416422
7,OGFR,ENSDARG00000103677,CABZ01008730.1,2.90207625621041,7.47501386976668,0.0000583862243969723,0.0013930321098582,0,1.00709997399671,0,2.05040588888776,4.02718119299005,7.11376468331774,6.84862689430194,3.91628546683162
8,HBG2,ENSDARG00000097011,hbaa1,2.85065675260748,7.21328663078577,2.28984611286197e-09,1.64630139381672e-07,2.20418633055434,3.02038589474254,3.04875629285046,0,10.5445986194441,15.7973079975975,10.0709997399671,16.4152856178814
9,CNN1,ENSDARG00000017193,cnn1a,2.70323555612744,6.5126087403785,0.00053741240093044,0.00904285484894781,22.3575461475701,24.4593817653641,0.979071366707904,2.95829737782725,40.2839989598683,72.1551016170611,99.4446856110565,76.5164426668109
10,STEAP3,ENSDARG00000075641,steap3,2.46414025724846,5.51798011327937,3.63835404323192e-13,4.6809426731322e-11,6.84862689430194,6.85349956695533,7.88879300753932,3.02129992199012,42.0904759432856,33.8316971666481,21.1427012631978,25.4063024404205
