"","LLgeneID","EnsemblID","LLgeneSymbol","logFC","Fold_change","PValue","FDR","wt_1","wt_2","wt_3","wt_4","iqgap1_mut_1","iqgap1_mut_2","iqgap1_mut_3","iqgap1_mut_4"
"LL0000024247","LL0000024247","ENSDARG00000079645","sc:d217",6.09208084912146,68.2180139619671,3.17753071312433e-12,3.66697954271245e-10,1.95675054122912,10.7697850337869,0,0,96.2068021560814,283.981215610955,192.297901965275,246.949259720887
"LL0000002779","LL0000002779","ENSDARG00000092358","BX469930.1",6.0824007659576,67.7618222003577,2.49892484362793e-135,6.71935901203113e-131,21.8037144370287,31.4175338290953,15.1422474894361,17.1457239291551,1194.53320310174,1148.13316381889,1023.25685748743,1545.74982387977
"LL0000002298","LL0000002298","ENSDARG00000094215","BX005417.1",5.52995111500549,46.2041686252224,3.96704580798221e-30,3.55566315769445e-27,2.40624076281155,2.40851747135186,2.93512581184369,0,52.8746351330323,75.2202970578141,82.0964711731895,114.135843804937
"LL0000002839","LL0000002839","ENSDARG00000092739","BX510917.1",4.99734494461246,31.9411631436431,5.6719591396668e-38,8.0270162792895e-35,2.41594285855892,4.38088488688568,0,4.8082018094418,79.8992748689226,78.9119753799461,57.8317622460268,112.044927206053
"LL0000039199","LL0000039199","ENSDARG00000068846","zgc:66024",4.83188811176716,28.4802145950096,1.02478382270122e-16,2.11964709297024e-14,0,0.986099125942415,1.00709997399671,0,15.3780441666582,13.0883388772177,14.501917432992,18.5891301416767
"LL0000026672","LL0000026672","","si:dkey-117j14.6",4.69471996690489,25.8971237024376,3.71670151944071e-06,0.000123076831473204,1.99405794851348,2.72585939442231,0,0,7.36782770772195,26.6802936296591,59.5862833778431,11.6655526598988
"LL0000013846","LL0000013846","ENSDARG00000117514","LO018315.7",4.45426511018811,21.921355585973,3.12984683363641e-05,0.000813911523304153,0,1.03657713956916,0,0.293721410012371,6.25186845847491,2.15519394435296,4.01863829839465,23.0875703088762
"LL0000003530","LL0000003530","ENSDARG00000093309","BX890559.1",4.36499184434288,20.6059895847113,2.52456506647549e-23,1.06067234488218e-20,0,2.30495463498945,3.60871436444246,0,34.9489096370425,25.8780259077552,18.1519831387645,32.3539123221707
"LL0000008069","LL0000008069","ENSDARG00000114045","CU571061.1",4.3400566214985,20.2529003541558,1.17111994417927e-08,7.47986797601815e-07,3.02038589474254,2.54063024404205,1.08599655038216,4.77786826953457,8.59878437821786,90.2059446708851,57.5637366233887,47.9794977999736
"LL0000024352","LL0000024352","ENSDARG00000055712","sdhda",4.15375839619347,17.7994208641833,2.56421924638936e-08,1.51176258621273e-06,1.00215418912585,0,0,1.01625209761682,14.6756290592184,5.87442820024743,10.8470903853666,6.04259984398025
