Term	Count	PValue
Metabolic pathways	33	2.31E-13
Arginine and proline metabolism	5	1.37E-04
Protein processing in endoplasmic reticulum	7	1.60E-04
 Phagosome	6	5.77E-04
Neuroactive ligand-receptor interaction	8	0.010379295
NOD-like receptor signaling pathway	4	0.031841038
Lysosome	4	0.034685724
Metabolism of xenobiotics by cytochrome P450	3	0.034795737
Regulation of actin cytoskeleton	5	0.040145569
Herpes simplex virus 1 infection	4	0.041285661
