                                   anatomical term	 Sample gene count	Total gene count	P-value	 corrected P-value	Below threshold?
                                             blood	                42	             270	4.31756e-18	           0.00000	            YES
                intermediate cell mass of mesoderm	                42	             313	1.04388e-15	           0.00000	            YES
                                        blood cell	                18	              60	1.78100e-13	           0.00000	            YES
                                        macrophage	                22	             152	2.19149e-09	           0.00000	            YES
                                            kidney	                68	            1231	2.37581e-06	           0.00010	            YES
                                             liver	               121	            2727	0.00001	           0.00044	            YES
                      ventral wall of dorsal aorta	                14	             118	0.00002	           0.00062	            YES
                                  post-vent region	                25	             333	0.00006	           0.00145	            YES
                              hematopoietic system	                 9	              58	0.00008	           0.00181	            YES
                                              ball	                 8	              49	0.00013	           0.00282	            YES
                              yolk syncytial layer	                37	             624	0.00016	           0.00306	            YES
                     epidermal superficial stratum	                 5	              23	0.00065	           0.01133	            YES
                                              yolk	                10	              99	0.00113	           0.01825	            YES
                                       vasculature	                 8	              90	0.00754	           0.11309	             NO
                                         epidermis	                24	             447	0.00800	           0.11206	             NO
                                   female organism	                28	             550	0.00877	           0.11513	             NO
                           hematopoietic stem cell	                 7	              77	0.01078	           0.13320	             NO
                              anatomical structure	                17	             294	0.01225	           0.14293	             NO
                                 exocrine pancreas	                 7	              80	0.01315	           0.14535	             NO
                             pronephric glomerulus	                 6	              65	0.01655	           0.17376	             NO
                                        integument	                39	             893	0.02418	           0.24180	             NO
                                               gut	                50	            1208	0.02780	           0.26540	             NO
        mesenchyme derived from trunk neural crest	                 1	               1	0.03163	           0.28880	             NO
                                   intestinal bulb	                18	             353	0.03166	           0.27699	             NO
                                       xanthophore	                 4	              51	0.07707	           0.64735	             NO
                               reproductive system	                 2	              16	0.08941	           0.72218	             NO
                                 cardiac ventricle	                17	             378	0.09197	           0.71530	             NO
                                             heart	                82	            2265	0.09366	           0.70242	             NO
                                             trunk	                25	             603	0.10060	           0.72849	             NO
                                         intestine	                53	            1410	0.10130	           0.70909	             NO
                                          pancreas	                18	             419	0.11645	           0.78882	             NO
                                     immune system	                 1	               4	0.12061	           0.79150	             NO
                                       sternohyoid	                 3	              39	0.12475	           0.79389	             NO
                              skeletal muscle cell	                 5	              84	0.12684	           0.78344	             NO
                                   adenohypophysis	                 3	              40	0.13189	           0.79133	             NO
                                caudal vein plexus	                 6	             110	0.13548	           0.79030	             NO
                                   dorsal fin fold	                 2	              21	0.14138	           0.80240	             NO
                                  thyroid follicle	                 3	              42	0.14656	           0.80996	             NO
        thyroid stimulating hormone secreting cell	                 1	               5	0.14841	           0.77914	             NO
                        common lymphoid progenitor	                 1	               5	0.14841	           0.79912	             NO
                               embryonic structure	                 3	              45	0.16950	           0.86818	             NO
                                          somite 1	                 2	              24	0.17496	           0.85446	             NO
                                       hyohyoideus	                 2	              24	0.17496	           0.87480	             NO
                                      pigment cell	                 4	              71	0.18671	           0.89112	             NO
                 tract of the postoptic commissure	                 1	               7	0.20139	           0.93983	             NO
                                       optic tract	                 2	              27	0.20963	           0.95701	             NO
                              postoptic commissure	                 2	              28	0.22134	           0.96837	             NO
                                       oral region	                 2	              28	0.22134	           0.98897	             NO
                                          mesoderm	                15	             382	0.22996	           0.98553	             NO
                                vertical myoseptum	                 3	              53	0.23481	           0.96686	             NO
                                       muscle cell	                 3	              53	0.23481	           0.98620	             NO
                                        caudal fin	                18	             472	0.23909	           0.96555	             NO
                                   tela chorioidea	                 1	               9	0.25108	           0.97642	             NO
                apical ectodermal ridge dorsal fin	                 1	               9	0.25108	           0.99484	             NO
                                    chondrocranium	                 2	              31	0.25672	           0.98020	             NO
                          liver and biliary system	                 2	              33	0.28037	           1.00000	             NO
                                 trunk vasculature	                 5	             114	0.29293	           1.00000	             NO
                            dorsal fin musculature	                 1	              11	0.29767	           1.00000	             NO
                                   pronephric duct	                28	             796	0.30646	           1.00000	             NO
                               posterior intestine	                 4	              89	0.31038	           1.00000	             NO
                                         myoseptum	                 3	              63	0.32104	           1.00000	             NO
                      retinal pigmented epithelium	                 5	             119	0.32401	           1.00000	             NO
                           posterior cardinal vein	                 8	             206	0.32777	           1.00000	             NO
                                        melanocyte	                 3	              64	0.32975	           1.00000	             NO
                                           pharynx	                13	             356	0.33777	           1.00000	             NO
                                              cell	                 2	              38	0.33905	           1.00000	             NO
                   anterior lateral line neuromast	                 2	              38	0.33905	           1.00000	             NO
                                     aortic arch 3	                 1	              13	0.34137	           1.00000	             NO
                                      hepatic duct	                 1	              13	0.34137	           1.00000	             NO
                                  digestive system	                 6	             151	0.34380	           1.00000	             NO
                                      lateral line	                 4	              95	0.35361	           1.00000	             NO
                              common cardinal vein	                 3	              67	0.35585	           1.00000	             NO
                                     aortic arch 4	                 1	              14	0.36219	           1.00000	             NO
                           anterior pancreatic bud	                 1	              14	0.36219	           1.00000	             NO
                                  slow muscle cell	                 4	              98	0.37527	           1.00000	             NO
                    posterior communicating artery	                 1	              15	0.38235	           1.00000	             NO
                                          podocyte	                 1	              15	0.38235	           1.00000	             NO
                         fin fold pectoral fin bud	                 3	              71	0.39042	           1.00000	             NO
                                Meckel's cartilage	                 3	              72	0.39900	           1.00000	             NO
                                 thymus primordium	                 1	              16	0.40187	           1.00000	             NO
