                                   anatomical term	 Sample gene count	Total gene count	P-value	 corrected P-value	Below threshold?
                                   oral epithelium	                 2	              44	0.40733	           1.00000	             NO
                       retinal photoreceptor layer	                 6	             164	0.41743	           1.00000	             NO
                                  trabecula cranii	                 1	              17	0.42077	           1.00000	             NO
                                    central artery	                 1	              17	0.42077	           1.00000	             NO
                          posterior pancreatic bud	                 2	              46	0.42934	           1.00000	             NO
                                 pronephric tubule	                 3	              78	0.44963	           1.00000	             NO
                           epidermal basal stratum	                 1	              19	0.45680	           1.00000	             NO
                             neuromast mantle cell	                 1	              19	0.45680	           1.00000	             NO
                                         extension	                 2	              49	0.46152	           1.00000	             NO
                                   median fin fold	                 5	             141	0.46186	           1.00000	             NO
                                 blood vasculature	                 3	              80	0.46613	           1.00000	             NO
                                     interhyoideus	                 1	              20	0.47397	           1.00000	             NO
                                        iridophore	                 1	              20	0.47397	           1.00000	             NO
                           ventral mandibular arch	                 2	              52	0.49261	           1.00000	             NO
                                 pancreatic system	                 1	              22	0.50669	           1.00000	             NO
                                    pineal complex	                 2	              54	0.51269	           1.00000	             NO
                                  fast muscle cell	                 3	              87	0.52201	           1.00000	             NO
                               lateral line system	                 8	             248	0.52817	           1.00000	             NO
                                         neuromast	                11	             345	0.53322	           1.00000	             NO
                                          somite 2	                 1	              24	0.53737	           1.00000	             NO
                                              vent	                 1	              24	0.53737	           1.00000	             NO
                                 bulbus arteriosus	                 3	              89	0.53737	           1.00000	             NO
                                           fin bud	                 4	             123	0.54809	           1.00000	             NO
                                     mid intestine	                 2	              58	0.55123	           1.00000	             NO
                           pronephric duct opening	                 1	              25	0.55199	           1.00000	             NO
                                    muscle pioneer	                 2	              59	0.56053	           1.00000	             NO
                                  splanchnocranium	                 2	              59	0.56053	           1.00000	             NO
                               pharyngeal arch 3-7	                10	             321	0.56540	           1.00000	             NO
                                          somite 3	                 1	              26	0.56614	           1.00000	             NO
                                            atrium	                 6	             193	0.57478	           1.00000	             NO
                    anterior lateral line ganglion	                 2	              61	0.57869	           1.00000	             NO
                                               eye	                76	            2435	0.57975	           1.00000	             NO
                           hyosymplectic cartilage	                 1	              27	0.57984	           1.00000	             NO
                                      renal system	                 1	              28	0.59311	           1.00000	             NO
                                     olfactory pit	                 2	              63	0.59630	           1.00000	             NO
                               trigeminal ganglion	                 7	             232	0.60390	           1.00000	             NO
                                          ectoderm	                 6	             201	0.61443	           1.00000	             NO
                   posterior lateral line ganglion	                 3	             102	0.62989	           1.00000	             NO
                            enteric nervous system	                 1	              31	0.63046	           1.00000	             NO
                           ceratobranchial 5 tooth	                 1	              31	0.63046	           1.00000	             NO
                                        glial cell	                 1	              32	0.64212	           1.00000	             NO
                                           cranium	                 2	              69	0.64577	           1.00000	             NO
                            posterior lateral line	                 1	              33	0.65342	           1.00000	             NO
                                        hypophysis	                 7	             246	0.66472	           1.00000	             NO
                           hypaxial myotome region	                 3	             108	0.66801	           1.00000	             NO
                                    pancreatic bud	                 4	             144	0.67168	           1.00000	             NO
                            neuromast support cell	                 1	              35	0.67495	           1.00000	             NO
                       retinal inner nuclear layer	                15	             520	0.68175	           1.00000	             NO
                                            dermis	                 1	              37	0.69514	           1.00000	             NO
                                 axial vasculature	                 4	             150	0.70233	           1.00000	             NO
                                    hatching gland	                 8	             290	0.70240	           1.00000	             NO
                               cranial vasculature	                 3	             114	0.70315	           1.00000	             NO
                         peripheral nervous system	                 1	              38	0.70475	           1.00000	             NO
                                 choroidal fissure	                 1	              38	0.70475	           1.00000	             NO
                         ceratobranchial cartilage	                 1	              38	0.70475	           1.00000	             NO
                              dorsal root ganglion	                 1	              38	0.70475	           1.00000	             NO
                                        pronephros	                10	             360	0.70730	           1.00000	             NO
                               anterior commissure	                 1	              39	0.71406	           1.00000	             NO
                                 paraxial mesoderm	                 6	             224	0.71586	           1.00000	             NO
                              retinal neural layer	                 2	              80	0.72374	           1.00000	             NO
                      primordial hindbrain channel	                 1	              42	0.74026	           1.00000	             NO
                           lateral line primordium	                 2	              83	0.74230	           1.00000	             NO
                                   head mesenchyme	                 5	             198	0.75424	           1.00000	             NO
                                         esophagus	                 1	              44	0.75637	           1.00000	             NO
                                      dorsal aorta	                 8	             306	0.75644	           1.00000	             NO
                                       floor plate	                 8	             306	0.75644	           1.00000	             NO
                     statoacoustic (VIII) ganglion	                 2	              87	0.76536	           1.00000	             NO
                              mucus secreting cell	                 2	              89	0.77619	           1.00000	             NO
                                musculature system	                 8	             313	0.77775	           1.00000	             NO
                                 pharyngeal arch 3	                 1	              47	0.77866	           1.00000	             NO
                                  ventral fin fold	                 1	              47	0.77866	           1.00000	             NO
                                         cleithrum	                 2	              91	0.78658	           1.00000	             NO
                                 brain vasculature	                 1	              50	0.79890	           1.00000	             NO
                                          habenula	                 4	             173	0.80032	           1.00000	             NO
                             lateral line ganglion	                 2	              97	0.81521	           1.00000	             NO
                  posterior lateral line neuromast	                 2	              98	0.81963	           1.00000	             NO
                                              head	                38	            1362	0.82312	           1.00000	             NO
                                 ethmoid cartilage	                 1	              55	0.82857	           1.00000	             NO
                                       aortic arch	                 1	              55	0.82857	           1.00000	             NO
                        peripheral olfactory organ	                14	             556	0.84520	           1.00000	             NO
                                endocrine pancreas	                 1	              59	0.84908	           1.00000	             NO
                                          endoderm	                 4	             200	0.87984	           1.00000	             NO
                                             brain	               110	            3777	0.88034	           1.00000	             NO
                                   pharyngeal arch	                23	             904	0.88917	           1.00000	             NO
                                     neuroectoderm	                 2	             118	0.88989	           1.00000	             NO
                                ventral mesenchyme	                 1	              71	0.89686	           1.00000	             NO
                             cardiovascular system	                 2	             125	0.90766	           1.00000	             NO
                                 trunk musculature	                 3	             174	0.91469	           1.00000	             NO
                                      hypothalamus	                13	             570	0.91704	           1.00000	             NO
                       retinal ganglion cell layer	                14	             609	0.91917	           1.00000	             NO
                                 pharyngeal arch 1	                 2	             132	0.92264	           1.00000	             NO
                                              vein	                 3	             180	0.92533	           1.00000	             NO
                                  cranial nerve II	                 1	              82	0.92700	           1.00000	             NO
                                         inner ear	                 6	             309	0.92756	           1.00000	             NO
                              olfactory epithelium	                 4	             236	0.94162	           1.00000	             NO
                                    primary neuron	                 1	              90	0.94308	           1.00000	             NO
                                    olfactory bulb	                 5	             285	0.94776	           1.00000	             NO
                                  pectoral fin bud	                 8	             412	0.95020	           1.00000	             NO
                              cephalic musculature	                 1	              95	0.95120	           1.00000	             NO
                                         hypochord	                 2	             153	0.95460	           1.00000	             NO
                                    nervous system	                 2	             157	0.95896	           1.00000	             NO
                                              lens	                12	             593	0.96483	           1.00000	             NO
                                       optic stalk	                 1	             106	0.96503	           1.00000	             NO
                                               fin	                 7	             414	0.97623	           1.00000	             NO
                                            neuron	                10	             550	0.97992	           1.00000	             NO
                       midbrain hindbrain boundary	                10	             550	0.97992	           1.00000	             NO
                                 pharyngeal arch 2	                 1	             127	0.98092	           1.00000	             NO
                                Rohon-Beard neuron	                 1	             128	0.98144	           1.00000	             NO
                                         notochord	                21	             997	0.98408	           1.00000	             NO
                 posterior lateral line primordium	                 1	             136	0.98502	           1.00000	             NO
                                            artery	                 1	             158	0.99116	           1.00000	             NO
                                  ventricular zone	                 6	             431	0.99133	           1.00000	             NO
                          pectoral fin musculature	                10	             613	0.99192	           1.00000	             NO
                                        cerebellum	                10	             615	0.99213	           1.00000	             NO
                                           myotome	                15	             834	0.99325	           1.00000	             NO
                                         epiphysis	                10	             638	0.99401	           1.00000	             NO
                                  cranial ganglion	                 6	             470	0.99468	           1.00000	             NO
                                      pectoral fin	                17	             988	0.99652	           1.00000	             NO
                      pharyngeal arch 3-7 skeleton	                 6	             665	0.99723	           1.00000	             NO
                                         tegmentum	                 5	             673	0.99725	           1.00000	             NO
                                         forebrain	                13	             982	0.99764	           1.00000	             NO
                                      diencephalon	                17	            1247	0.99795	           1.00000	             NO
                            central nervous system	                17	            1284	0.99799	           1.00000	             NO
                                      optic tectum	                20	            1377	0.99807	           1.00000	             NO
                                          midbrain	                19	            1530	0.99819	           1.00000	             NO
                                            somite	                22	            1587	0.99823	           1.00000	             NO
                                       spinal cord	                21	            1597	0.99824	           1.00000	             NO
                                     telencephalon	                24	            1653	0.99828	           1.00000	             NO
                                            retina	                35	            1905	0.99839	           1.00000	             NO
                                         hindbrain	                27	            2007	0.99848	           0.99848	             NO
