                                   anatomical term	 Sample gene count	Total gene count	P-value	 corrected P-value	Below threshold?
                                             blood	                40	             270	3.96617e-25	           0.00000	            YES
                intermediate cell mass of mesoderm	                38	             313	1.00466e-20	           0.00000	            YES
                                        blood cell	                17	              60	4.05275e-16	           0.00000	            YES
                              hematopoietic system	                 9	              58	1.13282e-06	           0.00005	            YES
                                            kidney	                46	            1231	2.62953e-06	           0.00009	            YES
                                  post-vent region	                20	             333	4.11302e-06	           0.00011	            YES
                      ventral wall of dorsal aorta	                11	             118	0.00001	           0.00029	            YES
                                        macrophage	                11	             152	0.00013	           0.00265	            YES
                                       vasculature	                 8	              90	0.00027	           0.00494	            YES
                                             liver	                73	            2727	0.00032	           0.00529	            YES
                           hematopoietic stem cell	                 7	              77	0.00058	           0.00852	            YES
                                              yolk	                 7	              99	0.00252	           0.03425	            YES
                                 exocrine pancreas	                 6	              80	0.00380	           0.04760	            YES
                             pronephric glomerulus	                 5	              65	0.00727	           0.08463	            YES
                     epidermal superficial stratum	                 3	              23	0.00867	           0.09423	            YES
                                              ball	                 4	              49	0.01307	           0.13319	             NO
                                   female organism	                18	             550	0.01490	           0.14286	             NO
                                       xanthophore	                 4	              51	0.01498	           0.13568	             NO
                                caudal vein plexus	                 6	             110	0.01711	           0.14682	             NO
        mesenchyme derived from trunk neural crest	                 1	               1	0.01871	           0.15247	             NO
                                             heart	                53	            2265	0.04113	           0.31927	             NO
                                               gut	                31	            1208	0.04198	           0.31101	             NO
                               embryonic structure	                 3	              45	0.05158	           0.36554	             NO
                                 cardiac ventricle	                12	             378	0.05178	           0.35168	             NO
                                          mesoderm	                12	             382	0.05523	           0.36008	             NO
                                        integument	                23	             893	0.07246	           0.45428	             NO
                                     immune system	                 1	               4	0.07274	           0.43914	             NO
                                         epidermis	                13	             447	0.07669	           0.44644	             NO
                        common lymphoid progenitor	                 1	               5	0.09008	           0.50631	             NO
                                       oral region	                 2	              28	0.09586	           0.52082	             NO
                                         myoseptum	                 3	              63	0.11369	           0.59777	             NO
                                        melanocyte	                 3	              64	0.11772	           0.59964	             NO
                              yolk syncytial layer	                16	             624	0.12454	           0.61515	             NO
                                   intestinal bulb	                10	             353	0.12627	           0.60535	             NO
                                      pigment cell	                 3	              71	0.14737	           0.68633	             NO
                   anterior lateral line neuromast	                 2	              38	0.15836	           0.69763	             NO
                                              cell	                 2	              38	0.15836	           0.71701	             NO
                                             trunk	                15	             603	0.15929	           0.68327	             NO
                                       sternohyoid	                 2	              39	0.16497	           0.68949	             NO
                                 trunk vasculature	                 4	             114	0.16508	           0.67268	             NO
                      retinal pigmented epithelium	                 4	             119	0.18346	           0.72938	             NO
                                  thyroid follicle	                 2	              42	0.18508	           0.71828	             NO
                              anatomical structure	                 8	             294	0.18630	           0.70619	             NO
                                 blood vasculature	                 3	              80	0.18854	           0.69846	             NO
                                         intestine	                31	            1410	0.19148	           0.69360	             NO
                       retinal photoreceptor layer	                 5	             164	0.19353	           0.68577	             NO
                                   oral epithelium	                 2	              44	0.19867	           0.68900	             NO
                              skeletal muscle cell	                 3	              84	0.20770	           0.70533	             NO
                                     aortic arch 3	                 1	              13	0.21763	           0.72395	             NO
                                  fast muscle cell	                 3	              87	0.22235	           0.72487	             NO
                                           pharynx	                 9	             356	0.22356	           0.71452	             NO
                               posterior intestine	                 3	              89	0.23223	           0.72795	             NO
                                     aortic arch 4	                 1	              14	0.23226	           0.71432	             NO
                                          podocyte	                 1	              15	0.24663	           0.74444	             NO
                               reproductive system	                 1	              16	0.26072	           0.75888	             NO
                                 thymus primordium	                 1	              16	0.26072	           0.77268	             NO
                                       muscle cell	                 2	              53	0.26088	           0.74601	             NO
                                        caudal fin	                11	             472	0.26994	           0.75862	             NO
                                   median fin fold	                 4	             141	0.27083	           0.74823	             NO
                                            atrium	                 5	             193	0.29409	           0.79895	             NO
                   posterior lateral line ganglion	                 3	             102	0.29793	           0.79610	             NO
                             neuromast mantle cell	                 1	              19	0.30144	           0.79250	             NO
                    anterior lateral line ganglion	                 2	              61	0.31638	           0.81856	             NO
                                         neuromast	                 8	             345	0.31854	           0.81129	             NO
                                   dorsal fin fold	                 1	              21	0.32734	           0.82086	             NO
                                     olfactory pit	                 2	              63	0.33013	           0.81533	             NO
                           posterior cardinal vein	                 5	             206	0.34191	           0.83181	             NO
