                                   anatomical term	 Sample gene count	Total gene count	P-value	 corrected P-value	Below threshold?
                              common cardinal vein	                 2	              67	0.35740	           0.85672	             NO
                                       hyohyoideus	                 1	              24	0.36440	           0.86083	             NO
                           pronephric duct opening	                 1	              25	0.37629	           0.87623	             NO
                                          pancreas	                 9	             419	0.38434	           0.88236	             NO
                                          habenula	                 4	             173	0.40618	           0.91956	             NO
                              postoptic commissure	                 1	              28	0.41066	           0.90456	             NO
                                      renal system	                 1	              28	0.41066	           0.91695	             NO
                                 pronephric tubule	                 2	              78	0.43003	           0.93459	             NO
                              retinal neural layer	                 2	              80	0.44277	           0.94963	             NO
                            enteric nervous system	                 1	              31	0.44313	           0.93806	             NO
                                        glial cell	                 1	              32	0.45356	           0.94782	             NO
                          liver and biliary system	                 1	              33	0.46379	           0.95692	             NO
                            neuromast support cell	                 1	              35	0.48367	           0.98548	             NO
                              mucus secreting cell	                 2	              89	0.49808	           1.00000	             NO
                                               eye	                46	            2435	0.50079	           0.99548	             NO
                       retinal inner nuclear layer	                10	             520	0.51086	           1.00000	             NO
                         peripheral nervous system	                 1	              38	0.51212	           0.99377	             NO
                                          ectoderm	                 4	             201	0.52077	           0.99864	             NO
                                      lateral line	                 2	              95	0.53296	           1.00000	             NO
                                  digestive system	                 3	             151	0.53904	           1.00000	             NO
                  posterior lateral line neuromast	                 2	              98	0.54976	           1.00000	             NO
                                  slow muscle cell	                 2	              98	0.54976	           1.00000	             NO
                                  ventral fin fold	                 1	              47	0.58842	           1.00000	             NO
                                 paraxial mesoderm	                 4	             224	0.60648	           1.00000	             NO
                                 brain vasculature	                 1	              50	0.61110	           1.00000	             NO
                           ventral mandibular arch	                 1	              52	0.62552	           1.00000	             NO
                                vertical myoseptum	                 1	              53	0.63253	           1.00000	             NO
                               trigeminal ganglion	                 4	             232	0.63401	           1.00000	             NO
                                    hatching gland	                 5	             290	0.63516	           1.00000	             NO
                                   pronephric duct	                14	             796	0.63543	           1.00000	             NO
                                    pineal complex	                 1	              54	0.63940	           1.00000	             NO
                                     neuroectoderm	                 2	             118	0.65069	           1.00000	             NO
                                     mid intestine	                 1	              58	0.66564	           1.00000	             NO
                                        pronephros	                 6	             360	0.66964	           1.00000	             NO
                                    muscle pioneer	                 1	              59	0.67190	           1.00000	             NO
                                      dorsal aorta	                 5	             306	0.68145	           1.00000	             NO
                             cardiovascular system	                 2	             125	0.68148	           1.00000	             NO
                               lateral line system	                 4	             248	0.68522	           1.00000	             NO
                                musculature system	                 5	             313	0.70041	           1.00000	             NO
                        peripheral olfactory organ	                 9	             556	0.71881	           1.00000	             NO
                                           cranium	                 1	              69	0.72835	           1.00000	             NO
                                ventral mesenchyme	                 1	              71	0.73841	           1.00000	             NO
                                Meckel's cartilage	                 1	              72	0.74330	           1.00000	             NO
                                 axial vasculature	                 2	             150	0.77361	           1.00000	             NO
                                    olfactory bulb	                 4	             285	0.78352	           1.00000	             NO
                     statoacoustic (VIII) ganglion	                 1	              87	0.80653	           1.00000	             NO
                                 bulbus arteriosus	                 1	              89	0.81368	           1.00000	             NO
                                    primary neuron	                 1	              90	0.81715	           1.00000	             NO
                                         cleithrum	                 1	              91	0.82056	           1.00000	             NO
                              olfactory epithelium	                 3	             236	0.82079	           1.00000	             NO
                              cephalic musculature	                 1	              95	0.83356	           1.00000	             NO
                             lateral line ganglion	                 1	              97	0.83970	           1.00000	             NO
                               pharyngeal arch 3-7	                 4	             321	0.85394	           1.00000	             NO
                                              head	                21	            1362	0.85779	           1.00000	             NO
                           hypaxial myotome region	                 1	             108	0.86960	           1.00000	             NO
                                              lens	                 8	             593	0.87065	           1.00000	             NO
                                   head mesenchyme	                 2	             198	0.88678	           1.00000	             NO
                       retinal ganglion cell layer	                 8	             609	0.88795	           1.00000	             NO
                                               fin	                 5	             414	0.88974	           1.00000	             NO
                       midbrain hindbrain boundary	                 7	             550	0.89359	           1.00000	             NO
                                           fin bud	                 1	             123	0.90148	           1.00000	             NO
                                 pharyngeal arch 2	                 1	             127	0.90855	           1.00000	             NO
                                      hypothalamus	                 7	             570	0.91238	           1.00000	             NO
                                 pharyngeal arch 1	                 1	             132	0.91666	           1.00000	             NO
                                             brain	                62	            3777	0.91770	           1.00000	             NO
                                   pharyngeal arch	                12	             904	0.92169	           1.00000	             NO
                 posterior lateral line primordium	                 1	             136	0.92261	           1.00000	             NO
                                    pancreatic bud	                 1	             144	0.93323	           1.00000	             NO
                                         notochord	                13	             997	0.93894	           1.00000	             NO
                                        cerebellum	                 7	             615	0.94426	           1.00000	             NO
                                        hypophysis	                 2	             246	0.94482	           1.00000	             NO
                                            neuron	                 6	             550	0.94661	           1.00000	             NO
                                    nervous system	                 1	             157	0.94737	           1.00000	             NO
                                  ventricular zone	                 4	             431	0.96073	           1.00000	             NO
                                 trunk musculature	                 1	             174	0.96127	           1.00000	             NO
                                              vein	                 1	             180	0.96519	           1.00000	             NO
                                          endoderm	                 1	             200	0.97541	           1.00000	             NO
                                  cranial ganglion	                 4	             470	0.97561	           1.00000	             NO
                                         inner ear	                 2	             309	0.97826	           1.00000	             NO
                                  pectoral fin bud	                 3	             412	0.98192	           1.00000	             NO
                                         epiphysis	                 5	             638	0.99065	           1.00000	             NO
                                            retina	                23	            1905	0.99292	           1.00000	             NO
                                           myotome	                 7	             834	0.99330	           1.00000	             NO
                                      pectoral fin	                 9	             988	0.99357	           1.00000	             NO
                                       floor plate	                 1	             306	0.99421	           1.00000	             NO
                          pectoral fin musculature	                 4	             613	0.99424	           1.00000	             NO
                                      diencephalon	                11	            1247	0.99645	           1.00000	             NO
                                         forebrain	                 7	             982	0.99662	           1.00000	             NO
                                         tegmentum	                 2	             673	0.99684	           1.00000	             NO
                                      optic tectum	                11	            1377	0.99726	           1.00000	             NO
                            central nervous system	                 8	            1284	0.99732	           1.00000	             NO
                                          midbrain	                13	            1530	0.99738	           1.00000	             NO
                                     telencephalon	                15	            1653	0.99741	           1.00000	             NO
                                            somite	                13	            1587	0.99750	           1.00000	             NO
                                       spinal cord	                12	            1597	0.99755	           1.00000	             NO
                                         hindbrain	                16	            2007	0.99782	           0.99782	             NO
